Proctor_ID,Soil_ID,Density_kg/m3,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC
1,1,2077.99,4.62,9.61,40.62,2042.75,0
2,1,2073.12,5.96,12.35,51.83,2114.2,0
3,1,1953,10.08,19.68,69.7,2358.7,1
4,1,1953,11.24,21.96,78,2692,1
5,1,2017,7.56,15.24,58.8,2225.7,1
6,1,2017,10.02,20.22,78,2694,1
7,1,2144.12,7.74,16.58,78.16,2361.25,0
8,1,2131.68,8.8,18.77,86.59,2484.9,0
9,1,2055.04,4.62,9.5,38.79,2082.55,0
10,1,2081.17,6.29,13.1,55.66,2176.8,0
11,1,2130.12,9.19,19.59,90.12,2590.65,0
12,1,2144.36,9.15,19.63,92.53,2670.4,0
13,2,2080.79,1.09,2.27,9.12,1992.05,0
14,2,2081.18,5.15,10.72,43.03,2085.5,0
15,2,2067.43,3.42,7.07,27.82,2001.1,0
16,2,2071.12,5.08,10.53,41.65,2083.45,0
17,2,2094.41,6.23,13.05,53.4,2167.25,0
18,2,2177.69,7.29,15.87,74.03,2259.65,0
19,2,2107.65,7.57,15.94,66.53,2159.9,0
20,2,2145.1,7.65,16.41,72.54,2236.1,0
21,2,2090.49,7.67,16.04,65.25,2201.05,0
22,2,1980.76,9.61,19.03,66.66,2268.25,0
23,2,2076.18,11.11,23.08,91.92,2662.3,0
24,3,1601.43,7.2,11.52,28.16,2130.4,0
25,3,1593.28,8.9,14.19,34.42,2187,0
26,3,1619.54,10.45,16.93,42.05,2256.9,0
27,3,1627.57,11.6,18.89,47.26,2341.9,0
28,3,1641.33,13.2,21.67,54.93,2432.85,0
29,3,1624.97,14.76,23.99,59.9,2558.05,0
30,3,1655.3,17.49,28.96,74.38,2619.25,0
31,3,1614.57,19.23,31.05,76.38,2649.9,0
32,3,1615.72,19.47,31.46,77.87,2660.5,0
33,4,2355.86,2.2,5.18,29.16,2048.95,0
34,4,2400.49,3.25,7.81,48.14,2053.4,0
35,4,2474.1,4.32,10.69,78.3,2206.1,0
36,4,1982.9,7.16,14.21,46.14,2614.7,0
37,4,2413.16,5.09,12.28,77.83,2190.55,0
38,4,2231,4.22,9.42,43,2065.75,1
39,4,2231,7.61,16.98,77,2738,1
40,4,1967.43,7.17,14.1,45,2481.2,0
41,4,2298.71,3.65,8.38,42.39,2101.45,0
42,4,2409.78,5,12.05,75.8,2155.4,0
43,4,2258.75,3.02,6.82,32.23,1986.55,0
44,4,2303.6,4.88,11.23,57.3,2081.45,0
45,4,2377.41,5.68,13.5,79.28,2186.45,0
46,5,2188.33,2.66,5.83,29.67,1965.2,0
47,5,2299.5,4.93,11.33,72.83,2023.8,0
48,5,2299.37,5.61,12.9,82.84,2283.3,0
49,5,2118.01,2.62,5.54,21.94,1970,0
50,5,2190.69,3.77,8.26,42.23,2031.05,0
51,5,2166.13,3.92,8.5,41.54,2129.65,0
52,5,2280.06,5.96,10.76,63.76,2302.55,0
53,5,2305.72,7.73,13.58,83.46,2536.85,0
54,5,2271.3,9.49,8.42,44.84,1991.7,0
55,5,2101.84,2.29,10.69,56.15,2055.65,0
56,5,2211.68,3.81,13.83,84.98,2498.5,0
57,5,2279.9,6.07,11.36,58.47,2260.8,0
58,5,2265.93,9.81,5.01,21.91,1967.2,0
59,6,1812.06,5.44,9.85,27.61,2009.9,0
60,6,2213.93,7.62,16.86,78.77,2365.25,0
61,6,1866.88,9.66,18.03,53.47,2580.4,0
62,6,2137,6.23,13.31,55,2135.55,1
63,6,2137,8.78,18.75,78,2732.8,1
64,6,2033,6.33,12.87,46,2142.45,1
65,6,2033,10.9,22.16,80,2789,1
66,6,2284.26,6.78,15.49,81.9,2139.1,0
67,6,2174.98,3.2,6.96,30.56,1991.35,0
68,6,2215.42,4.57,10.12,47.38,2049.15,0
69,6,2139.15,6.31,13.51,56.13,2043.1,0
70,6,2241.63,7.02,15.73,77.02,2102.85,0
71,7,1702.36,1.97,3.36,9.05,1929.85,0
72,7,2062.11,3.12,6.44,27.05,2008.95,0
73,7,2143.11,4.16,8.92,42.81,2027.45,0
74,7,2060.4,4.83,9.96,41.69,2038.6,0
75,7,2125.24,3.2,6.8,31.63,2027.9,0
76,7,2126.9,4.6,9.78,45.65,2058.2,0
77,7,2187.66,5.74,12.56,65.47,2138.65,0
78,7,2118.07,6.23,13.2,60.68,2529.2,0
79,7,2218.32,6.61,14.67,81.28,2573.8,0
80,7,2255.3,4.62,10.43,62.5,2154.9,0
81,7,2096,5.76,12.07,53,2142.1,1
82,7,2096,8.21,17.21,76,2732,1
83,7,2219.92,5.31,11.78,65.49,2100.5,0
84,7,2080,6.05,12.57,54,2149,1
85,7,2063,6.57,13.56,57,2090,1
86,7,2231.35,5.72,12.75,72.59,2171.1,0
87,7,2080.84,4.79,9.97,43.09,2103.9,0
88,7,2149.66,5.35,11.51,55.91,2048.8,0
89,7,1973.55,3.15,6.21,22.94,1974.4,0
90,7,1991.31,4.47,8.91,33.7,2041.7,0
91,7,2038.98,6,12.24,49.58,2108.4,0
92,7,2110.31,6.63,14,63.5,2237.55,0
93,7,1881.87,7.4,13.92,45.68,2261.1,0
94,7,2092.39,8.44,17.67,77.83,2581.75,0
95,8,2321.56,2.74,6.37,35.67,2031.25,0
96,8,2304.67,4.28,9.87,53.51,2030.4,0
97,8,2364.3,4.79,11.33,69.31,2207.15,0
98,8,2341,4.28,9.57,46,2166.3,1
99,8,2341,7.98,17.83,85,2732,1
100,8,2341,5.16,11.55,55,2141.4,1
101,8,2341,7.35,16.45,79,2730,1
102,8,2364.19,4.67,11.06,68.08,2177.6,0
103,8,1899.84,8.92,16.95,51.72,2617.45,0
104,8,2231.27,2.81,6.27,29.78,2046.35,0
105,8,2283.69,4.16,9.5,49.51,2119.4,0
106,8,2316.91,5.78,13.38,74.27,2235.4,0
107,9,2326.76,4.31,10.04,56.76,2110.15,0
108,9,2301.47,3.75,8.64,46.5,2082.25,0
