Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,theta,DegreeSat_%,Probe,IsPVC,Metatype,Site,g1,g2,rmse,d10,cu
1,1,2077.99,2.738,4.62,0.09609999999999999,40.62,2042.75,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
2,1,2073.12,2.738,5.96,0.1235,51.83,2114.2,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
3,1,1953.0,2.738,10.08,0.1968,69.7,2358.7,1,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
4,1,1953.0,2.738,11.24,0.21960000000000002,78.0,2692.0,1,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
5,1,2017.0,2.738,7.56,0.1524,58.8,2225.7,1,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
6,1,2017.0,2.738,10.02,0.2022,78.0,2694.0,1,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
7,1,2144.12,2.738,7.74,0.16579999999999998,78.16,2361.25,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
8,1,2131.68,2.738,8.8,0.1877,86.59,2484.9,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
9,1,2055.04,2.738,4.62,0.095,38.79,2082.55,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
10,1,2081.17,2.738,6.29,0.131,55.66,2176.8,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
11,1,2130.12,2.738,9.19,0.1959,90.12,2590.65,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
12,1,2144.36,2.738,9.15,0.1963,92.53,2670.4,0,MG112,Université de Sherbrooke,0.29265456489724223,0.8892665519846034,0.01585526498755782,0.3170114047873623,0.08783628723053277
