Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
1,01,2077.99,2.738,4.62,9.61,40.62,2042.75,0,MG112,Université de Sherbrooke
2,01,2073.12,2.738,5.96,12.35,51.83,2114.2,0,MG112,Université de Sherbrooke
3,01,1953,2.738,10.08,19.68,69.7,2358.7,1,MG112,Université de Sherbrooke
4,01,1953,2.738,11.24,21.96,78,2692,1,MG112,Université de Sherbrooke
5,01,2017,2.738,7.56,15.24,58.8,2225.7,1,MG112,Université de Sherbrooke
6,01,2017,2.738,10.02,20.22,78,2694,1,MG112,Université de Sherbrooke
7,01,2144.12,2.738,7.74,16.58,78.16,2361.25,0,MG112,Université de Sherbrooke
8,01,2131.68,2.738,8.8,18.77,86.59,2484.9,0,MG112,Université de Sherbrooke
9,01,2055.04,2.738,4.62,9.5,38.79,2082.55,0,MG112,Université de Sherbrooke
10,01,2081.17,2.738,6.29,13.1,55.66,2176.8,0,MG112,Université de Sherbrooke
11,01,2130.12,2.738,9.19,19.59,90.12,2590.65,0,MG112,Université de Sherbrooke
12,01,2144.36,2.738,9.15,19.63,92.53,2670.4,0,MG112,Université de Sherbrooke
13,02,2080.79,2.772,1.09,2.27,9.12,1992.05,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
14,02,2081.18,2.772,5.15,10.72,43.03,2085.5,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
15,02,2067.43,2.772,3.42,7.07,27.82,2001.1,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
16,02,2071.12,2.772,5.08,10.53,41.65,2083.45,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
17,02,2094.41,2.772,6.23,13.05,53.4,2167.25,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
18,02,2177.69,2.772,7.29,15.87,74.03,2259.65,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
19,02,2107.65,2.772,7.57,15.94,66.53,2159.9,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
20,02,2145.1,2.772,7.65,16.41,72.54,2236.1,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
21,02,2090.49,2.772,7.67,16.04,65.25,2201.05,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
22,02,1980.76,2.772,9.61,19.03,66.66,2268.25,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
23,02,2076.18,2.772,11.11,23.08,91.92,2662.3,0,MG112,"345,chemin Fitch Bay,Magog,QC J1X 0Z5"
24,03,1601.43,2.711,7.2,11.52,28.16,2130.4,0,MG112,"Rue St. Gabriel, Mascouche"
25,03,1593.28,2.711,8.9,14.19,34.42,2187,0,MG112,"Rue St. Gabriel, Mascouche"
26,03,1619.54,2.711,10.45,16.93,42.05,2256.9,0,MG112,"Rue St. Gabriel, Mascouche"
27,03,1627.57,2.711,11.6,18.89,47.26,2341.9,0,MG112,"Rue St. Gabriel, Mascouche"
28,03,1641.33,2.711,13.2,21.67,54.93,2432.85,0,MG112,"Rue St. Gabriel, Mascouche"
29,03,1624.97,2.711,14.76,23.99,59.9,2558.05,0,MG112,"Rue St. Gabriel, Mascouche"
30,03,1655.3,2.711,17.49,28.96,74.38,2619.25,0,MG112,"Rue St. Gabriel, Mascouche"
31,03,1614.57,2.711,19.23,31.05,76.38,2649.9,0,MG112,"Rue St. Gabriel, Mascouche"
32,03,1615.72,2.711,19.47,31.46,77.87,2660.5,0,MG112,"Rue St. Gabriel, Mascouche"
33,04,2355.86,2.865,2.2,5.18,29.16,2048.95,0,MG20,Université de Sherbrooke
34,04,2400.49,2.865,3.25,7.81,48.14,2053.4,0,MG20,Université de Sherbrooke
35,04,2474.1,2.865,4.32,10.69,78.3,2206.1,0,MG20,Université de Sherbrooke
36,04,1982.9,2.865,7.16,14.21,46.14,2614.7,0,MG20,Université de Sherbrooke
37,04,2413.16,2.865,5.09,12.28,77.83,2190.55,0,MG20,Université de Sherbrooke
